name,ra,dec,trigger_time,t90,fluence,trigger_name
GRB130505955,344.47,-70.47,56417.95505,50.241,0.000009873,bn130505955
GRB200120962,137.134,-70.4363,58868.96175,12.800,8.6054E-06,bn200120962
GRB191111547,239.41,-70.42,58798.54665,158.212,8.6363E-06,bn191111547
GRB220610295,229.64,-57.8,59740.29493,17.664,7.8335E-06,bn220610295
GRB171020813,234.6,-70.16,58046.81288,19.200,1.9737E-06,bn171020813
GRB080717543,147.3,-70,54664.54346,36.608,4.4599E-06,bn080717543
GRB100429999,89.09,-69.96,55315.9999,25.024,2.7847E-06,bn100429999
GRB180630335,133.07,-69.94,58299.33541,48.896,2.9586E-06,bn180630335
GRB120107384,246.4,-69.93,55933.38351,23.040,0.000006532,bn120107384
GRB080905570,96.9,-69.8,54714.57048,26.624,4.0911E-06,bn080905570
GRB131204937,309.67,-69.67,56630.93678,29.952,1.6482E-06,bn131204937
GRB130327350,218.09,-69.51,56378.35005,31.233,0.000051995,bn130327350
GRB220730659,225.021,-69.497,59790.65897,0.160,9.3652E-07,bn220730659
GRB230320150,270.47,-57.33,60023.14958,16.128,3.9786E-06,bn230320150
GRB090725838,281.88,-69.49,55037.83774,13.760,2.3588E-06,bn090725838
GRB140322424,250.3,-69.45,56738.42435,10.496,2.0052E-06,bn140322424
GRB210520797,123,-69.4,59354.79656,56.065,2.8451E-06,bn210520797
GRB200924386,317.3,-56.4,59116.38566,2.816,6.3666E-07,bn200924386
GRB150902733,214.926,-69.361,57267.73309,13.568,0.000083192,bn150902733
GRB170625692,106.7,-69.35,57929.69152,22.784,1.9512E-06,bn170625692
GRB240519213,293.91,-69.35,60449.21319,11.325,8.1484E-06,bn240519213
GRB180804931,109.36,-69.32,58334.931,18.432,8.1538E-06,bn180804931
GRB140110411,50.64,-69.29,56667.41116,0.768,4.5951E-08,bn140110411
GRB200223814,248.39,-55.79,58902.81393,65.281,4.4902E-06,bn200223814
GRB130218261,69.31,-69.13,56341.26141,37.121,9.4331E-06,bn130218261
GRB130420422,117.06,-69.03,56402.42233,27.328,3.7707E-06,bn130420422
GRB081226044,120.5,-69,54826.04418,0.832,4.303E-07,bn081226044
GRB171024977,210.53,-68.91,58050.97731,35.072,9.4493E-07,bn171024977
GRB180804765,139.67,-68.9,58334.76551,21.504,3.5109E-06,bn180804765
GRB090411838,156,-68.9,54932.83793,21.501,6.6659E-06,bn090411838
GRB240807238,300.967,-68.7861,60529.23802,7.680,6.7686E-07,bn240807238
GRB221021388,218.71,-68.58,59873.3878,68.353,0.00001367,bn221021388
GRB240107803,292.46,-68.3,60316.80312,60.161,6.2274E-06,bn240107803
GRB221201517,266.923,-68.251,59914.51719,28.929,0.000018118,bn221201517
GRB160716144,189.61,-68.04,57585.14364,28.928,2.8781E-06,bn160716144
GRB240222369,143.248,-68.029,60362.36911,3.776,4.8433E-07,bn240222369
GRB210126417,70.68,-67.94,59240.41673,61.441,3.9751E-06,bn210126417
GRB090719063,341.27,-67.86,55031.0635,11.392,0.000046848,bn090719063
GRB180906759,270.12,-67.67,58367.75863,13.309,3.6221E-06,bn180906759
GRB240205926,351.76,-55.132,60345.92579,47.105,0.000049464,bn240205926
GRB240118508,49.84,-55.05,60327.5077,26.624,1.1504E-06,bn240118508
GRB100605774,273.43,-67.6,55352.77443,8.192,7.5654E-07,bn100605774
GRB110316139,46.7,-67.58,55636.13868,2.944,1.1497E-07,bn110316139
GRB231123809,163.24,-67.55,60271.80928,52.481,2.2087E-06,bn231123809
GRB191220589,211.77,-67.51,58837.58923,27.905,0.000018048,bn191220589
GRB240422112,255.61,-67.43,60422.1118,28.160,8.4572E-07,bn240422112
GRB230911185,351.71,-55.01,60198.1846,85.505,0.000017218,bn230911185
GRB090213236,330.6,-55,54875.23571,20.224,1.0974E-06,bn090213236
GRB081006604,142,-67.4,54745.60387,6.400,8.3329E-07,bn081006604
GRB090524346,329.5,-67.4,54975.34579,54.337,0.000016588,bn090524346
GRB150404733,165.91,-67.37,57116.73268,4.864,6.1093E-07,bn150404733
GRB100719311,304.87,-67.14,55396.31132,1.600,3.8679E-07,bn100719311
GRB090819607,49.08,-67.12,55062.60726,0.192,2.7212E-07,bn090819607
GRB180703876,6.54,-67.1,58302.87616,20.736,0.000016251,bn180703876
GRB131118958,349.863,-66.833,56614.95761,85.249,0.00006754,bn131118958
GRB170323775,348.83,-66.81,57835.77533,35.328,3.7589E-06,bn170323775
GRB181128751,182.82,-66.74,58450.75132,17.664,1.5219E-06,bn181128751
GRB181208188,104.11,-66.66,58460.18801,62.465,8.1001E-06,bn181208188
GRB190422670,189.23,-54.95,58595.67019,20.736,1.8196E-06,bn190422670
GRB111107035,129.478,-66.52,55872.03502,12.032,9.073E-07,bn111107035
GRB190420981,319.29,-66.41,58593.98084,1.472,6.538E-07,bn190420981
GRB151003729,60.34,-66.37,57298.72917,44.032,1.3475E-06,bn151003729
GRB220910627,276.7,-53.52,59832.62706,1.600,9.2406E-08,bn220910627
GRB230409936,195.94,-53.38,60043.93594,52.736,3.3447E-06,bn230409936
GRB090926181,353.401,-66.3239,55100.18087,13.760,0.00014657,bn090926181
GRB220518717,293.32,-66.21,59717.71658,3.840,0.000000361,bn220518717
GRB150628767,347.02,-66.18,57201.76663,0.640,2.6488E-07,bn150628767
GRB220124074,274.51,-66.17,59603.07431,53.760,2.7243E-06,bn220124074
GRB200714774,196.866,-51.6403,59044.77436,20.736,7.1563E-06,bn200714774
GRB210714331,313.67,-51.59,59409.33094,42.369,0.000036533,bn210714331
GRB120919816,303.53,-66.16,56189.81646,20.480,1.1356E-06,bn120919816
GRB240613991,262.18,-66.14,60474.99067,3.072,9.7873E-07,bn240613991
GRB180723757,7.84,-66.11,58322.75681,19.712,0.000043311,bn180723757
GRB200130248,329.29,-65.93,58878.2481,56.577,5.9173E-06,bn200130248
GRB101011707,48.3,-65.9,55480.70737,36.352,2.7101E-06,bn101011707
GRB240112541,8.21,-65.87,60321.54127,15.616,3.0525E-06,bn240112541
GRB231203293,230.59,-51.51,60281.29272,36.608,5.3892E-06,bn231203293
GRB090625560,2.2618,-65.7803,55007.55998,13.056,2.3679E-06,bn090625560
GRB160303971,302.2,-65.68,57450.97121,27.136,1.3771E-06,bn160303971
GRB120426090,111.537,-65.631,56043.08975,2.688,0.000021049,bn120426090
GRB130727698,330.799,-65.5384,56500.69816,12.992,8.1625E-06,bn130727698
GRB101023951,317.97,-65.3859,55492.95144,76.801,0.000063694,bn101023951
GRB170827818,48.79,-65.38,57992.81811,0.832,4.7114E-07,bn170827818
GRB161105417,249.25,-65.2167,57697.41723,41.473,9.5415E-06,bn161105417
GRB230715190,35.57,-65.18,60140.18991,135.938,0.000034306,bn230715190
GRB201217108,273.28,-65.13,59200.10768,37.121,5.7309E-06,bn201217108
GRB170210116,226.055,-65.101,57794.1164,76.545,0.000096107,bn170210116
GRB210925056,47.99,-51.41,59482.05566,4.544,5.7858E-06,bn210925056
GRB210807955,143.551,-51.409,59433.95514,125.442,0.000029852,bn210807955
GRB200130417,137.53,-51.34,58878.41663,11.293,0.000011459,bn200130417
GRB090924625,69.73,-65.02,55098.62493,0.352,5.5461E-07,bn090924625
GRB090602564,248.94,-65.02,54984.56415,20.736,2.7923E-06,bn090602564
GRB180528371,284.67,-65.02,58266.37063,16.896,7.1911E-07,bn180528371
GRB110411629,210.3,-64.99,55662.62865,23.552,3.5843E-06,bn110411629
GRB210317381,154.22,-64.94,59290.38089,46.337,0.000020325,bn210317381
GRB150826557,317.97,-64.94,57260.55713,33.024,3.7751E-06,bn150826557
GRB230316546,273.07,-64.93,60019.54618,30.913,0.00000917,bn230316546
GRB190903722,62.43,-64.86,58729.72195,0.272,4.4683E-07,bn190903722
