name,ra,dec,trigger_time,t90,fluence,trigger_name,log_t90,log_fluence,cluster_t90,cluster_fluence,cluster_both
GRB090320418,238.0,-46.5,54910.41789,7.936,1.0047e-06,bn090320418,0.8996017138707258,-5.997920373606879,0,1,1
GRB181231359,31.96,-46.44,58483.35884,3.072,4.1336e-07,bn181231359,0.48742135273135306,-6.383566499701668,1,1,1
GRB191225735,145.8,-7.18,58842.73463,82.69,8.3971e-06,bn191225735,1.9174529971817433,-5.075865502898254,0,0,0
GRB200211310,345.2,-7.15,58890.31006,78.594,3.9243e-05,bn200211310,1.8953893980492602,-4.406236692940492,0,0,0
GRB150908408,157.13,-46.43,57273.40762,60.928,3.4871e-06,bn150908408,1.7848169294963565,-5.457523143990373,0,0,0
GRB170308221,216.35,-46.33,57820.22083,11.52,1.8993e-05,bn170308221,1.0614525167863653,-4.721404145162023,0,0,0
GRB170803415,352.69,-46.33,57968.4151,66.816,1.0913e-05,bn170803415,1.824880479149988,-4.96205186520841,0,0,0
GRB120304248,277.28,-46.22,55990.24847,5.376,1.1435e-05,bn120304248,0.7304593408297052,-4.941760033133464,0,0,0
GRB200307894,84.18,-46.21,58915.89374,1.664,1.6066e-07,bn200307894,0.22115358294890666,-6.7938220024800025,1,1,1
GRB110125894,331.35,-46.21,55586.89408,4.8,8.6257e-07,bn110125894,0.6812413278535948,-6.064155304617733,1,1,1
GRB211024065,28.053,-6.973,59511.06541,0.064,9.2381e-08,bn211024065,-1.193813240217847,-7.033947482858085,1,1,1
GRB150222450,170.3,-46.2,57075.45009,65.281,1.9539e-05,bn150222450,1.8147868051429152,-4.709095444406165,0,0,0
GRB100718160,121.83,-46.18,55395.15983,32.641,2.7472e-06,bn100718160,1.5137634687739316,-5.561093913848207,0,0,0
GRB180718201,11.38,-46.12,58317.2007,7.168,2.4835e-06,bn180718201,0.8553980572420224,-5.604918348826055,0,1,0
GRB090718720,243.76,-6.68,55030.71994,76.481,3.3151e-06,bn090718720,1.8835535634460177,-5.47949026627088,0,0,0
GRB230618227,257.51,-6.67,60113.22653,48.641,2.3685e-05,bn230618227,1.6870025038531475,-4.6255247773132036,0,0,0
GRB161128216,262.43,-46.05,57720.2165,6.912,7.2345e-07,bn161128216,0.8396037923027886,-6.140531452141635,0,1,1
GRB210324833,37.57,-45.99,59297.83331,67.073,6.1103e-05,bn210324833,1.8265477381072095,-4.2139367557354905,0,0,0
GRB230915236,22.11,-45.97,60202.23576,34.817,4.5163e-06,bn230915236,1.5417913599678847,-5.345207601268819,0,0,0
GRB100918863,308.41,-45.96,55457.86271,88.834,0.00012897,bn100918863,1.9485792227651735,-3.8895109634227603,0,0,0
GRB190714573,71.16,-6.1,58678.57267,66.049,1.1986e-05,bn190714573,1.8198662532379268,-4.921322103306727,0,0,0
GRB190930400,238.22,-6.08,58756.40008,185.86,1.5058e-05,bn190930400,2.269185935150627,-4.82222982306041,0,0,0
GRB201226553,173.08,-5.97,59209.55309,70.914,2.0754e-06,bn201226553,1.850731989156835,-5.682877262285462,0,1,0
GRB170402961,307.92,-45.93,57845.96071,22.528,2.1689e-06,bn170402961,1.3527226567400044,-5.6637404479858064,0,1,0
GRB120728434,103.772,-45.893,56136.43431,100.481,0.00011632,bn120728434,2.002083952892036,-3.934345233123367,0,0,0
GRB190320052,117.811,-45.89,58562.05158,43.009,3.4159e-06,bn190320052,1.6335593550110514,-5.466482137983032,0,0,0
GRB210627748,234.84,-5.97,59392.74816,13.824,8.7033e-06,bn210627748,1.1406337565507951,-5.060311056256974,0,0,0
